url,titel,datum,nuttig,toelichting
/paspoort-aanvragen-buitenland,Paspoort aanvragen in het buitenland,2026-07-02,nee,"Er staat nergens bij welke ambassade ik moet zijn. Ik woon in Spanje, maar niet in Madrid."
/paspoort-aanvragen-buitenland,Paspoort aanvragen in het buitenland,2026-07-03,nee,"Moet ik nou een afspraak maken of kan ik gewoon langsgaan? Dat blijft onduidelijk."
/paspoort-aanvragen-buitenland,Paspoort aanvragen in het buitenland,2026-07-05,nee,"Ik zoek de doorlooptijd. Hoe lang duurt het voordat mijn paspoort klaar is?"
/paspoort-aanvragen-buitenland,Paspoort aanvragen in het buitenland,2026-07-07,ja,
/paspoort-aanvragen-buitenland,Paspoort aanvragen in het buitenland,2026-07-08,nee,"Onduidelijk of ik mijn oude paspoort mee moet nemen."
/paspoort-aanvragen-buitenland,Paspoort aanvragen in het buitenland,2026-07-09,nee,"Welke ambassades doen dit eigenlijk wel en welke niet? Ik kom er niet uit."
/paspoort-aanvragen-buitenland,Paspoort aanvragen in het buitenland,2026-07-11,nee,"Afspraak maken lukt niet, de link verwijst naar een pagina die niet werkt."
/paspoort-aanvragen-buitenland,Paspoort aanvragen in het buitenland,2026-07-12,ja,"Duidelijk verhaal over de documenten die ik mee moet nemen."
/paspoort-aanvragen-buitenland,Paspoort aanvragen in het buitenland,2026-07-14,nee,"Ik mis hoe lang het duurt. Ik moet over drie weken reizen."
/paspoort-aanvragen-buitenland,Paspoort aanvragen in het buitenland,2026-07-15,nee,"Kan ik dit ook bij een consulaat doen of alleen bij de ambassade?"
/paspoort-aanvragen-buitenland,Paspoort aanvragen in het buitenland,2026-07-17,nee,"Geen idee wat het kost. Nergens een bedrag te vinden."
/paspoort-aanvragen-buitenland,Paspoort aanvragen in het buitenland,2026-07-18,ja,
/paspoort-aanvragen-buitenland,Paspoort aanvragen in het buitenland,2026-07-20,nee,"Ik woon in een land zonder ambassade. Wat dan?"
/paspoort-aanvragen-buitenland,Paspoort aanvragen in het buitenland,2026-07-21,nee,"Moet ik zelf een afspraak maken bij de ambassade of doet iemand dat voor mij?"
/id-kaart-aanvragen-buitenland,Identiteitskaart aanvragen in het buitenland,2026-07-02,nee,"Kan ik een ID-kaart uberhaupt in het buitenland aanvragen? Dat staat er niet."
/id-kaart-aanvragen-buitenland,Identiteitskaart aanvragen in het buitenland,2026-07-04,nee,"Verwarrend: hier staat iets anders dan op de paspoortpagina."
/id-kaart-aanvragen-buitenland,Identiteitskaart aanvragen in het buitenland,2026-07-06,ja,
/id-kaart-aanvragen-buitenland,Identiteitskaart aanvragen in het buitenland,2026-07-08,nee,"Het verschil tussen paspoort en ID-kaart wordt niet uitgelegd. Welke heb ik nodig?"
/id-kaart-aanvragen-buitenland,Identiteitskaart aanvragen in het buitenland,2026-07-10,ja,"Goed dat de kosten erbij staan."
/id-kaart-aanvragen-buitenland,Identiteitskaart aanvragen in het buitenland,2026-07-12,nee,"Ik ben uitgeschreven uit Nederland. Geldt dit dan ook voor mij?"
/id-kaart-aanvragen-buitenland,Identiteitskaart aanvragen in het buitenland,2026-07-13,nee,"Nergens staat welke ambassade dit doet."
/id-kaart-aanvragen-buitenland,Identiteitskaart aanvragen in het buitenland,2026-07-15,ja,
/id-kaart-aanvragen-buitenland,Identiteitskaart aanvragen in het buitenland,2026-07-16,nee,"Ik kon geen afspraak maken, de wachttijd is nergens vermeld."
/id-kaart-aanvragen-buitenland,Identiteitskaart aanvragen in het buitenland,2026-07-19,ja,
